,PKMuestreo,FechaMuestreo,IDPiscina,PKCiclo,KilosAlimento,FechaSiembra,FechaCosecha,CantidadSembrada,Hectareas,days_from_last_monitoring,cycle_days,survival_updated_at,Supervivencia,PesoPromedio2,CantidadCosechada,biomass_harvested,CantidadCosechada_cum,biomass_harvested_cum,stocked_minus_harvested,live_animals,live_biomass,cumulative_biomass,kg/ha/day,cumulative_fcr,density_ha,density_ha_bin,biomass_ha,NombreProveedor,Proveedor,Codigo,Especie,Origen,Proceso,Descripcion,MnProveedor,total_feed_given,cycle_feed_cost,start_weight,start_cycle_days,CantidadCosechada_harvested,VentaUSDReal,average_weight_harvest,Parcial,final_sale,partial_harvest_qty,partial_harvest_rev,final_biomass_harvested,cycle_fcr,cycle_weekly_growth_rate,rev_ha_day,cycle_feed_ha_day,total_qty_harvested_ha,total_qty_harvested_ha_day,avg_feed_cost_$,cycle_survival
21,69585,2021-08-16,84,3451,2900.0,2021-06-04,2021-08-22,821250,7.3000002,7.0,79,2021-08-16,57.0,25.76,0.0,0.0,0.0,0.0,821250.0,468112.0,12059.0,12059.0,56.8,1.644,112500.0,<130K,1652.0,AQUATROPICAL,AQ,VLL,V,L,L,Laboratorio,AQ,19825.0,16977.25,0.92,3,385403.0,45577.0,24.799999,0.0,1.0,0.0,0.0,9558.0,2.074,2.29,79.03,34.38,52794.93,668.29,0.86,46.9
22,69692,2021-08-23,91,3452,2575.0,2021-06-05,2021-08-24,1223700,8.5,7.0,80,2021-08-23,42.0,24.0,0.0,0.0,0.0,0.0,1223700.0,513954.0,12335.0,12335.0,43.3,1.597,143965.0,130-160k,1451.0,AQUATROPICAL,AQ,VLL,V,L,L,Laboratorio,AQ,19700.0,16823.0,0.64,2,405222.0,39427.0,21.639999,0.0,1.0,0.0,0.0,8769.0,2.247,2.1,57.98,28.97,47673.18,595.91,0.85,33.1
24,69842,2021-09-06,85,3459,3150.0,2021-06-19,2021-09-08,1020000,8.1000004,7.0,81,2021-09-06,95.0,25.0,0.0,0.0,250781.0,4815.0,769219.0,730758.0,18269.0,23084.0,55.6,1.309,125926.0,<130K,2850.0,TEXCUMAR,TX,VLL,V,L,L,Laboratorio,MG,30212.0,27296.93,1.1,2,938834.0,91985.0,21.01,1.0,1.0,250781.0,21627.0,19271.0,1.568,2.12,140.2,46.05,115905.43,1430.93,0.9,92.0
25,69986,2021-09-27,89,3460,2075.0,2021-06-29,2021-10-01,669900,5.5,7.0,94,2021-09-27,73.0,25.7,0.0,0.0,191685.0,3527.0,478215.0,349097.0,8972.0,12499.0,53.9,1.792,121800.0,<130K,2273.0,TEXCUMAR,TX,VLL,V,L,L,Laboratorio,ACUTEC,22400.0,20467.25,0.89,6,572952.0,61001.0,22.26,1.0,1.0,191685.0,16386.0,12014.0,1.864,1.97,117.99,43.33,104173.09,1108.22,0.91,85.5
26,69987,2021-09-27,90,3461,1725.0,2021-06-30,2021-09-30,746200,6.5,7.0,92,2021-09-27,73.0,25.2,0.0,0.0,263061.0,4693.0,483139.0,352691.0,8888.0,13581.0,37.9,1.633,114800.0,<130K,2089.0,TEXCUMAR,TX,VLL,V,L,L,Laboratorio,ACUTEC,22175.0,20761.0,0.85,5,503292.0,50171.0,26.0,1.0,1.0,263061.0,20560.0,10939.0,2.027,1.96,83.9,37.08,77429.54,841.63,0.94,67.4
27,70086,2021-10-04,81,3462,2050.0,2021-07-02,2021-10-06,1107600,8.6000004,7.0,96,2021-10-04,74.0,26.5,0.0,0.0,246678.0,4492.0,860922.0,637082.0,16883.0,21375.0,34.1,1.678,128791.0,<130K,2485.0,TEXCUMAR,TX,VLL,V,L,L,Laboratorio,SP,35875.0,29604.25,0.3,3,767360.0,85200.0,24.030001,1.0,1.0,246678.0,20539.0,17004.0,2.11,1.97,103.2,43.45,89227.9,929.46,0.83,69.3
28,70087,2021-10-04,82,3463,1875.0,2021-07-03,2021-10-04,1130500,9.5,7.0,93,,61.0,26.0,0.0,0.0,0.0,0.0,1130500.0,689605.0,17930.0,17930.0,28.2,2.019,119000.0,<130K,1887.0,TEXCUMAR,TX,VLL,V,L,L,Laboratorio,SP,36200.0,33758.75,0.37,2,615522.0,71751.0,23.0,0.0,1.0,0.0,0.0,14157.0,2.557,1.97,81.21,40.97,64791.79,696.69,0.93,54.400000000000006
29,69899,2021-09-20,79,3465,1675.0,2021-07-08,2021-09-24,785900,7.5999999,7.0,78,2021-09-20,40.0,28.5,0.0,0.0,0.0,0.0,785900.0,314360.0,8959.0,8959.0,31.5,1.627,103408.0,<130K,1179.0,TEXCUMAR,TX,VLL,V,L,L,Laboratorio,SP,14575.0,14032.75,0.87,4,347517.0,52391.0,26.98,0.0,1.0,0.0,0.0,9376.0,1.555,2.61,88.38,24.59,45725.92,586.23,0.96,44.2
30,69843,2021-09-06,86,3466,700.0,2021-07-19,2021-09-11,655200,7.8000002,7.0,54,2021-09-06,40.0,21.29,0.0,0.0,0.0,0.0,655200.0,262080.0,5580.0,5580.0,12.8,1.142,84000.0,<130K,715.0,TEXCUMAR,TX,VLL,V,L,L,Laboratorio,SP,6375.0,3703.75,2.35,7,152184.0,14743.0,20.6,0.0,1.0,0.0,0.0,3135.0,2.033,2.82,35.0,15.14,19510.77,361.31,0.58,23.200000000000003
31,69984,2021-09-27,87,3467,2800.0,2021-07-19,2021-10-03,833000,8.5,7.0,76,2021-09-27,68.0,23.38,0.0,0.0,0.0,0.0,833000.0,566440.0,13243.0,13243.0,47.1,1.361,98000.0,<130K,1558.0,TEXCUMAR,TX,VLL,V,L,L,Laboratorio,SP,18025.0,14994.0,2.01,7,683194.0,71478.0,21.6,0.0,1.0,0.0,0.0,14757.0,1.221,2.17,110.65,27.9,80375.76,1057.58,0.83,82.0
32,70343,2021-11-01,92,3473,4200.0,2021-08-03,2021-11-05,1195200,9.1000004,7.0,94,2021-11-01,102.0,22.5,0.0,0.0,379765.0,5499.0,815435.0,831744.0,18714.0,24213.0,65.9,1.586,131341.0,130-160k,2661.0,TEXCUMAR,TX,VLL,V,L,L,Laboratorio,P&A,38400.0,36328.25,1.15,6,1088617.0,99037.0,23.610001,1.0,1.0,379765.0,21889.0,22235.0,1.727,1.7,115.78,44.89,119628.24,1272.64,0.95,91.10000000000001
33,70331,2021-11-01,80,3476,3575.0,2021-08-16,2021-11-06,1051050,9.1000004,7.0,82,2021-11-01,72.0,23.8,0.0,0.0,0.0,0.0,1051050.0,756756.0,18011.0,18011.0,56.1,1.478,115500.0,<130K,1979.0,TEXCUMAR,TX,VLL,V,L,L,Laboratorio,ACUTEC,26625.0,24366.0,0.0,0,921018.0,75851.49,21.030001,0.0,1.0,0.0,0.0,19369.0,1.375,2.03,101.65,35.68,101210.76,1234.28,0.92,87.6
34,70608,2021-11-29,88,3480,2800.0,2021-08-31,2021-11-30,1278424,11.7,7.0,91,,60.0,26.5,0.0,0.0,0.0,0.0,1278424.0,767054.0,20327.0,20327.0,34.2,1.39,109267.0,<130K,1737.0,TEXCUMAR,TX,VLL,V,L,L,Laboratorio,ACUTEC,28250.0,22518.5,0.59,6,698539.0,77748.0,26.5,0.0,1.0,0.0,0.0,18511.0,1.526,2.13,73.02,26.53,59704.19,656.09,0.8,54.6
35,70822,2021-12-20,84,3481,2900.0,2021-08-31,2021-12-21,1371508,7.3000002,7.0,112,,109.0,,0.0,0.0,748980.0,10272.0,622528.0,678556.0,,,56.8,,187878.0,>160k,,TEXCUMAR,TX,VLL,V,L,L,Laboratorio,P&A,53050.0,45610.0,0.92,13,1378980.0,100187.75,23.5,2.0,1.0,748980.0,36779.75,25077.0,2.115,,122.54,64.89,188901.36,1686.62,0.86,100.49999999999999
36,70560,2021-11-22,91,3484,1925.0,2021-09-02,2021-11-28,806851,8.5,7.0,87,2021-11-22,57.0,24.56,0.0,0.0,0.0,0.0,806851.0,459905.0,11295.0,11295.0,32.4,1.461,94924.0,<130K,1329.0,TEXCUMAR,TX,VLL,V,L,L,Laboratorio,P&A,16500.0,11826.75,0.28,4,425788.0,46496.0,26.0,0.0,1.0,0.0,0.0,11070.0,1.491,2.05,62.87,22.31,50092.71,575.78,0.72,52.800000000000004
37,70735,2021-12-13,83,3486,3550.0,2021-09-15,2021-12-16,1183200,8.6999998,7.0,92,2021-12-13,112.0,21.86,0.0,0.0,375785.0,5742.0,807415.0,904305.0,19768.0,25510.0,58.3,1.354,136000.0,130-160k,2932.0,TEXCUMAR,TX,VLL,V,L,L,Laboratorio,SP,34550.0,29034.0,0.79,5,1093624.0,88048.0,23.6,1.0,1.0,375785.0,19474.0,22683.0,1.523,1.7,110.01,43.17,125703.91,1366.35,0.84,92.4
38,70737,2021-12-13,85,3487,2375.0,2021-09-16,2021-12-13,1017600,8.1000004,7.0,88,,99.0,25.21,0.0,0.0,248920.0,4555.0,768680.0,760993.0,19185.0,23740.0,41.9,1.234,125630.0,<130K,2931.0,TEXCUMAR,TX,VLL,V,L,L,Laboratorio,SP,29300.0,23898.5,0.45,4,856998.0,80781.0,25.5,1.0,1.0,248920.0,16159.0,20061.0,1.461,2.06,113.33,41.11,105802.22,1202.3,0.82,84.2
39,70738,2021-12-13,86,3488,3900.0,2021-09-16,2021-12-19,1119360,7.8000002,7.0,94,2021-12-13,123.0,22.53,0.0,0.0,421389.0,6152.0,697971.0,858504.0,19342.0,25494.0,71.4,1.278,143508.0,130-160k,3268.0,TEXCUMAR,TX,VLL,V,L,L,Laboratorio,SP,32575.0,26738.25,0.35,4,1057533.0,75596.0,23.6,1.0,1.0,421389.0,18630.0,21165.0,1.539,1.73,103.1,44.43,135581.15,1442.35,0.82,94.5
40,71088,2022-01-17,79,3495,2575.0,2021-10-02,2022-01-20,1048976,7.5999999,7.0,110,2022-01-17,83.0,29.0,0.0,0.0,399181.0,7176.0,649795.0,539330.0,15641.0,22817.0,48.4,1.458,138023.0,130-160k,3002.0,TEXCUMAR,TX,VLL,V,L,L,Laboratorio,P&A,33275.0,32782.0,0.3,2,894148.0,87705.0,28.809999,2.0,1.0,399181.0,24382.0,21436.0,1.552,1.86,104.91,39.8,117651.05,1069.56,0.99,85.2
41,71203,2022-01-24,89,3496,1225.0,2021-10-11,2022-01-25,742500,5.5,7.0,106,2022-01-24,87.0,25.43,0.0,0.0,311887.0,4947.0,430613.0,374633.0,9527.0,14474.0,31.8,1.618,135000.0,130-160k,2632.0,TEXCUMAR,TX,VLL,V,L,L,Laboratorio,IRMART,23425.0,21640.0,0.3,0,679688.0,49733.0,23.450001,2.0,1.0,311887.0,17233.0,13572.0,1.726,1.66,85.31,40.18,123579.64,1165.85,0.92,91.5
42,71099,2022-01-17,90,3497,1550.0,2021-10-12,2022-01-23,884000,6.5,7.0,103,2022-01-17,50.0,27.76,0.0,0.0,136242.0,2248.0,747758.0,373879.0,10379.0,12627.0,34.1,1.602,136000.0,130-160k,1943.0,TEXCUMAR,TX,VLL,V,L,L,Laboratorio,IRMART,20225.0,19083.5,0.59,6,450885.0,39959.0,28.0,1.0,1.0,136242.0,7177.0,11058.0,1.829,1.96,59.68,30.21,69366.92,673.47,0.94,51.0
